Response_ID,What_year_were_you_born,Gender,Tenure,Industry,Organisation_size,Household_type,Metro_Regional,Productivity while working remotely
1,1972,Female,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Regional,50% More productive
2,1972,Male,More than 5 years,Manufacturing and trade,Between 1 and 4,Couple with dependent children,Metro,20% Less productive
3,1982,Male,More than 5 years,Public and utility services,More than 200,One  parent family with dependent children,Metro,10% Less productive
4,1987,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No change
5,1991,Male,More than 5 years,Public and utility services,Between 5 and 19,Couple with no dependent children,Metro,20% More productive
6,1989,Male,Between 1 and 5 years,Retail and Food,Between 20 and 199,Single person,Metro,No change
7,1973,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,50% More productive
8,1992,Male,Between 6 and 12 months,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,30% Less productive
9,1977,Male,More than 5 years,Service Industry,More than 200,Single person,Metro,30% More productive
10,1985,Male,More than 5 years,Public and utility services,More than 200,Group household,Metro,20% Less productive
11,1980,Female,Between 6 and 12 months,Service Industry,More than 200,Single person,Metro,No change
12,1989,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,10% More productive
13,1994,Female,Between 6 and 12 months,Service Industry,More than 200,Single person,Metro,10% Less productive
14,1970,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,50% More productive
15,1962,Female,More than 5 years,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,No change
16,1959,Male,Between 1 and 5 years,Public and utility services,More than 200,Couple with no dependent children,Metro,No change
17,1971,Female,More than 5 years,Public and utility services,Between 1 and 4,Couple with no dependent children,Metro,50% More productive
18,1960,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,30% Less productive
19,1966,Male,Between 6 and 12 months,Service Industry,Between 5 and 19,Couple with dependent children,Metro,50% More productive
20,1969,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,50% More productive
21,1961,Male,More than 5 years,Public and utility services,More than 200,Couple with no dependent children,Metro,No change
22,1969,Male,Between 6 and 12 months,Service Industry,More than 200,Couple with dependent children,Metro,30% More productive
23,1959,Male,Between 1 and 5 years,Public and utility services,Between 20 and 199,Couple with dependent children,Metro,20% More productive
24,1963,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,40% More productive
25,1962,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,30% More productive
26,1965,Male,More than 5 years,Retail and Food,Between 20 and 199,Couple with dependent children,Metro,30% Less productive
27,1962,Female,More than 5 years,Service Industry,More than 200,Other one family household,Metro,10% Less productive
28,1963,Female,More than 5 years,Public and utility services,Between 20 and 199,Couple with dependent children,Metro,No change
29,1984,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Regional,30% More productive
30,1957,Male,More than 5 years,Service Industry,I am the only employee,Single person,Regional,30% More productive
31,1962,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,10% Less productive
32,1958,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,20% More productive
33,1961,Male,Between 6 and 12 months,Retail and Food,More than 200,Couple with no dependent children,Metro,30% Less productive
34,1959,Male,Between 6 and 12 months,Service Industry,More than 200,Couple with dependent children,Metro,30% More productive
35,1980,Female,More than 5 years,Retail and Food,More than 200,Couple with dependent children,Metro,No change
36,1991,Female,More than 5 years,Service Industry,More than 200,Single person,Metro,No change
37,1973,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,30% More productive
38,1971,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,30% More productive
39,1996,Male,Between 6 and 12 months,Service Industry,More than 200,Single person,Metro,20% Less productive
40,1975,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,20% More productive
41,1996,Female,Between 6 and 12 months,Retail and Food,Between 20 and 199,Single person,Metro,20% Less productive
42,1987,Male,Between 6 and 12 months,Service Industry,More than 200,Couple with dependent children,Metro,10% More productive
43,1966,Female,Between 6 and 12 months,Public and utility services,More than 200,Couple with no dependent children,Metro,30% More productive
44,1976,Female,Between 1 and 5 years,Retail and Food,Between 5 and 19,Single person,Metro,50% More productive
45,1967,Female,More than 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,20% More productive
46,1965,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,20% Less productive
47,1961,Female,More than 5 years,Public and utility services,Between 5 and 19,Couple with no dependent children,Metro,10% Less productive
48,1964,Male,More than 5 years,Service Industry,Between 20 and 199,Single person,Metro,30% More productive
49,1978,Female,More than 5 years,Retail and Food,More than 200,Couple with no dependent children,Metro,10% More productive
50,1979,Male,Between 6 and 12 months,Service Industry,More than 200,Multiple family household,Metro,30% Less productive
51,1974,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Metro,10% Less productive
52,1969,Male,More than 5 years,Retail and Food,I am the only employee,Single person,Regional,No change
53,1995,Female,Between 1 and 5 years,Retail and Food,Between 5 and 19,Couple with no dependent children,Metro,40% More productive
