Response_ID,What year were you born,Gender,Tenure,Industry,Organisation size,Household Type,Metro or Regional,Pay cut willingness to work remotely,Productivity while working remotely
1,1976,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,50% More productive
2,1971,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with no dependent children,Metro,No,50% More productive
3,1978,Female,Between 6 and 12 months,Service Industry,More than 200,Single person,Metro,Yes,No Change
4,1962,Female,Between 1 and 5 years,Public and utility services,Between 20 and 199,One parent family with dependent children,Regional,No,50% More productive
5,1974,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Regional,No,20% More productive
6,1985,Male,Between 1 and 5 years,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,No,20% More productive
7,1973,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,10% More productive
8,1992,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,20% More productive
9,1970,Female,More than 5 years,Service Industry,More than 200,One parent family with dependent children,Metro,Yes,50% Less productive
10,1981,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,50% More productive
11,1980,Female,Between 1 and 5 years,Public and utility services,More than 200,Group household,Metro,No,50% More productive
12,1959,Male,Between 1 and 5 years,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,No,20% More productive
13,1992,Female,Between 6 and 12 months,Service Industry,Between 1 and 4,Couple with dependent children,Metro,No,10% Less productive
14,1968,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,20% Less productive
15,1976,Male,More than 5 years,Service Industry,Between 5 and 19,Single person,Metro,No,40% More productive
16,1973,Male,More than 5 years,Service Industry,More than 200,Single person,Metro,No,50% More productive
17,1972,Female,Between 1 and 5 years,Retail and Food,More than 200,One parent family with dependent children,Regional,No,50% More productive
18,1977,Female,More than 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Regional,Yes,10% More productive
19,1978,Male,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with dependent children,Metro,Yes,10% More productive
20,1995,Female,Between 1 and 5 years,Retail and Food,More than 200,Other one family household,Metro,No,20% More productive
21,1980,Female,Between 6 and 12 months,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,Yes,50% More productive
22,1978,Male,More than 5 years,Retail and Food,Between 20 and 199,Couple with dependent children,Regional,No,30% More productive
23,1976,Male,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with dependent children,Metro,Yes,30% More productive
24,1961,Male,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Metro,Yes,50% More productive
25,1965,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,50% More productive
26,1959,Male,Between 1 and 5 years,Manufacturing and trade,I am a sole trader/owner-operator,Couple with dependent children,Metro,No,No Change
27,1964,Female,More than 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Metro,No,30% More productive
28,1989,Male,Between 1 and 5 years,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,Yes,30% More productive
29,1975,Female,More than 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,Yes,40% More productive
30,1987,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,20% More productive
31,1975,Female,Between 1 and 5 years,Service Industry,Between 1 and 4,One parent family with dependent children,Regional,No,No Change
32,1979,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No,30% More productive
33,1983,Female,Between 6 and 12 months,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,Yes,10% More productive
34,1974,Rather not say,More than 5 years,Service Industry,Between 20 and 199,Multiple family household,Metro,No,20% More productive
35,1967,Male,More than 5 years,Service Industry,Between 1 and 4,Other one family household,Regional,No,20% Less productive
36,1967,Male,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with dependent children,Metro,No,10% Less productive
37,1960,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No,50% More productive
38,1982,Male,More than 5 years,Public and utility services,Between 5 and 19,Couple with no dependent children,Metro,No,50% More productive
39,1979,Male,More than 5 years,Retail and Food,Between 5 and 19,Couple with dependent children,Metro,No,40% More productive
40,1962,Female,Between 6 and 12 months,Retail and Food,Between 1 and 4,Couple with dependent children,Metro,Yes,50% More productive
41,1961,Male,More than 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,No,No Change
42,1983,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,No Change
43,1965,Male,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Metro,No,50% More productive
44,1981,Female,Between 6 and 12 months,Service Industry,More than 200,Single person,Metro,No,50% More productive
45,1966,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Regional,No,20% Less productive
46,1974,Female,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Couple with dependent children,Metro,No,No Change
47,1978,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,No Change
48,1987,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,30% More productive
49,1984,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Regional,No,20% More productive
50,1983,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,30% More productive
51,1971,Male,Between 1 and 5 years,Retail and Food,More than 200,Couple with dependent children,Metro,No,50% More productive
52,1980,Male,More than 5 years,Service Industry,I am a sole trader/owner-operator,Couple with dependent children,Metro,No,No Change
53,1981,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,50% More productive
54,1977,Female,More than 5 years,Retail and Food,Between 1 and 4,Couple with dependent children,Regional,Yes,50% More productive
55,1981,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,30% More productive
56,1962,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No,No Change
57,1978,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,50% More productive
58,1980,Female,Between 1 and 5 years,Retail and Food,Between 20 and 199,One parent family with dependent children,Metro,No,30% More productive
59,1987,Male,Between 6 and 12 months,Retail and Food,Between 5 and 19,Multiple family household,Metro,No,20% More productive
60,1972,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,No Change
61,1985,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,50% More productive
62,1964,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,No Change
63,1961,Female,More than 5 years,Retail and Food,I am a sole trader/owner-operator,Couple with no dependent children,Regional,Yes,No Change
64,1963,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,50% Less productive
65,1992,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Single person,Metro,No,No Change
66,1981,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Group household,Metro,Yes,20% Less productive
67,1961,Male,More than 5 years,Service Industry,I am a sole trader/owner-operator,Couple with no dependent children,Regional,No,30% More productive
68,1990,Female,Between 1 and 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,No,10% More productive
69,1995,Female,Between 6 and 12 months,Service Industry,More than 200,Multiple family household,Metro,Yes,20% More productive
70,1974,Female,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No,30% More productive
71,1961,Male,More than 5 years,Retail and Food,Between 20 and 199,Couple with dependent children,Regional,No,No Change
72,1968,Female,More than 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Regional,No,No Change
73,1980,Male,Between 1 and 5 years,Retail and Food,Between 20 and 199,Couple with dependent children,Metro,Yes,30% More productive
74,1981,Male,Between 6 and 12 months,Service Industry,More than 200,Couple with dependent children,Metro,Yes,10% More productive
75,1985,Female,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No,50% More productive
76,1981,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,10% Less productive
77,1977,Male,More than 5 years,Service Industry,More than 200,Other one family household,Metro,No,20% More productive
78,1971,Male,Between 6 and 12 months,Service Industry,More than 200,Couple with dependent children,Metro,No,No Change
79,1978,Female,Between 1 and 5 years,Public and utility services,Between 20 and 199,Other one family household,Metro,No,50% More productive
80,1957,Female,More than 5 years,Public and utility services,Between 5 and 19,Other one family household,Metro,No,10% More productive
81,1978,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No,20% More productive
82,1970,Female,Between 6 and 12 months,Service Industry,Between 20 and 199,Group household,Metro,No,50% More productive
83,1965,Male,More than 5 years,Public and utility services,More than 200,Single person,Metro,No,20% Less productive
84,1976,Female,More than 5 years,Retail and Food,Between 20 and 199,Single person,Metro,Yes,30% More productive
85,1957,Male,More than 5 years,Service Industry,I am a sole trader/owner-operator,Couple with dependent children,Metro,Yes,30% More productive
86,1986,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Regional,No,No Change
87,1986,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,Yes,10% Less productive
88,1991,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,20% Less productive
89,1965,Male,More than 5 years,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,No,50% More productive
90,1972,Male,More than 5 years,Service Industry,Between 1 and 4,Couple with dependent children,Regional,No,No Change
91,1962,Female,Between 1 and 5 years,Manufacturing and trade,More than 200,Couple with no dependent children,Regional,No,No Change
92,1993,Female,Between 6 and 12 months,Manufacturing and trade,More than 200,Couple with no dependent children,Metro,Yes,30% More productive
93,1973,Male,More than 5 years,Service Industry,More than 200,Single person,Metro,No,No Change
94,1983,Male,Between 6 and 12 months,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,No Change
95,1966,Female,More than 5 years,Service Industry,Between 5 and 19,Single person,Metro,No,No Change
96,1990,Female,Between 1 and 5 years,Retail and Food,Between 20 and 199,Couple with dependent children,Metro,No,10% Less productive
97,1995,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,One parent family with dependent children,Metro,No,40% More productive
98,1957,Female,Between 1 and 5 years,Retail and Food,Between 5 and 19,Couple with no dependent children,Regional,Yes,50% More productive
99,1970,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,30% More productive
100,1980,Male,More than 5 years,Retail and Food,More than 200,Couple with dependent children,Metro,No,10% More productive
